accounting_error,adverse_selection_cost,average_quoted_spread_ticks,executable_mark_adjustment,external_cancel_count,external_event_count,external_limit_count,external_market_count,external_successful_cancel_count,external_trade_count,external_unfilled_market_quantity,fees,fill_count,fill_rate,filled_quantity_rate,final_inventory,final_pnl,final_wealth,inventory_mark_to_market,inventory_rms,liquidation_count,liquidation_pnl,max_abs_inventory,max_drawdown,max_drawdown_pct,max_queue_ahead_at_entry,mean_abs_inventory,mean_queue_ahead_at_entry,pnl_per_second,pnl_per_traded_unit,quote_count,quote_to_trade_ratio,seed,spread_capture,strategy,terminal_liquidation_unfilled,time_at_inventory_limit,total_traded_quantity,turnover_notional_ticks
-1.3969853052131498e-11,-0.09,2.67,0.0299999999982538,424.0,992.0,514.0,54.0,422.0,100.0,10.0,0.05999999999999999,11.0,0.055,0.0275,0.0,0.02999999998428393,100000.02999999998,0.10999999999999997,0.9489454739013253,1.0,0.08,1.0,0.08500000000640284,8.499995750642408e-07,7.0,0.900497512437811,1.5454545454545454,0.0014999999992141965,0.0027272727258439936,200.0,18.181818181818183,0.0,-0.13,naive_symmetric,0.0,0.0,11.0,109923
1.3387846387047375e-11,0.020000000000000014,2.86,0.7699999999976718,421.0,979.0,505.0,53.0,419.0,115.0,20.0,0.14000000000000004,24.0,0.12,0.06,0.0,-0.6599999999889405,99999.34000000001,-0.7200000000000002,2.308323679416564,1.0,-0.6,5.0,0.7700000000040745,7.699993070046982e-06,15.0,1.6965174129353233,2.2916666666666665,-0.03299999999944703,-0.027499999999539188,200.0,8.333333333333334,0.0,0.030000000000000013,inventory_skew,0.0,0.0,24.0,239646
-1.1641659858341313e-12,-0.01,28.11,0.09999999999883585,435.0,1002.0,521.0,46.0,434.0,81.0,9.0,0.01,1.0,0.005,0.0025,0.0,0.059999999997671694,100000.06,0.030000000000000006,0.9874838622020375,1.0,-0.12,1.0,0.04999999998835847,4.999996248838661e-07,0.0,0.9751243781094527,0.0,0.0029999999998835845,0.059999999997671694,200.0,200.0,0.0,0.06,avellaneda_stoikov,0.0,0.0,1.0,10003
1.2223597134486397e-11,0.0,5.135,-0.02000000000989527,352.0,828.0,434.0,42.0,352.0,83.0,22.0,0.02,4.0,0.02,0.012658227848101266,0.0,-0.059999999997671694,99999.94,0.05999999999999999,0.14106912317171966,0.0,0.0,1.0,0.1849999999976717,1.8499999999767168e-06,0.0,0.01990049751243781,0.0,-0.0029999999998835845,-0.014999999999417923,200.0,50.0,0.0,-0.08000000000000002,microstructure_adaptive,0.0,0.0,4.0,39992
-5.238809386298726e-12,-0.07999999999999999,2.68,-0.02000000000407448,434.0,987.0,510.0,43.0,432.0,86.0,50.0,0.1,16.0,0.08,0.04,0.0,-0.010000000009313226,99999.98999999999,0.009999999999999967,3.6732189307789476,1.0,-0.44,6.0,0.2449999999953434,2.449997549955884e-06,19.0,3.5323383084577116,1.5625,-0.0005000000004656613,-0.0006250000005820766,200.0,12.5,1.0,0.54,naive_symmetric,0.0,0.0,16.0,160015
1.1640688413194766e-12,-0.039999999999999994,2.955,0.4700000000203728,433.0,989.0,512.0,44.0,431.0,94.0,51.0,0.07999999999999999,14.0,0.07,0.035,0.0,-0.42999999997846317,99999.57000000002,-0.53,2.7208427140551263,1.0,-0.4,6.0,0.6199999999807915,6.199994729812394e-06,19.0,2.5074626865671643,3.7142857142857144,-0.02149999999892316,-0.03071428571274737,200.0,14.285714285714286,1.0,0.10999999999999999,inventory_skew,0.0,0.0,14.0,139955
1.746229549848266e-11,-0.03,25.01,0.18999999997788108,436.0,996.0,533.0,27.0,432.0,53.0,29.0,0.02,4.0,0.02,0.01,0.0,0.11999999999534339,100000.12,-0.2,0.2543159784901902,0.0,0.0,1.0,0.1899999999877764,1.8999974348812268e-06,11.0,0.06467661691542288,2.75,0.005999999999767169,0.029999999998835847,200.0,50.0,1.0,0.15000000000000002,avellaneda_stoikov,0.0,0.0,4.0,39990
-1.5716067336413175e-11,-0.05,4.92,-0.11999999997904523,360.0,846.0,447.0,39.0,360.0,77.0,7.0,0.030000000000000002,5.0,0.025,0.015432098765432098,0.0,-0.00999999999476131,99999.99,0.03,1.354924682601357,1.0,0.12,3.0,0.08999999999650754,8.999995049653477e-07,0.0,1.2487562189054726,0.0,-0.0004999999997380655,-0.001999999998952262,200.0,40.0,1.0,-0.010000000000000002,microstructure_adaptive,0.0,0.0,5.0,49995
-9.313216864370588e-12,0.039999999999999994,2.555,-0.3000000000023283,427.0,986.0,506.0,53.0,425.0,104.0,12.0,0.06999999999999999,14.0,0.07,0.035,0.0,-0.20000000001164153,99999.79999999999,-0.01000000000000001,1.7732113824824083,0.0,0.0,3.0,0.3150000000023283,3.150000000023283e-06,13.0,1.5621890547263682,4.0,-0.010000000000582076,-0.014285714286545823,200.0,14.285714285714286,2.0,0.18,naive_symmetric,0.0,0.0,14.0,139839
-1.74632530658414e-12,0.039999999999999994,2.915,-0.22999999998370182,427.0,986.0,506.0,53.0,425.0,105.0,12.0,0.06999999999999999,14.0,0.07,0.035,0.0,-0.24999999998544808,99999.75000000001,-0.07999999999999999,1.7732113824824083,0.0,0.0,3.0,0.3149999999732245,3.1499999997322447e-06,10.0,1.5621890547263682,3.642857142857143,-0.012499999999272404,-0.017857142856103434,200.0,14.285714285714286,2.0,0.13000000000000003,inventory_skew,0.0,0.0,14.0,139816
2.0954654678106976e-11,0.0,20.73267326732673,0.04999999998253771,235.0,600.0,342.0,23.0,233.0,43.0,7.0,0.02,4.0,0.02,0.019801980198019802,0.0,-0.08999999999650754,99999.91,-0.2899999999999999,1.9044331628182154,0.0,0.0,2.0,0.33999999999650754,3.399999659965109e-06,0.0,1.8258706467661692,0.0,-0.004499999999825377,-0.022499999999126885,200.0,50.0,2.0,0.17,avellaneda_stoikov,0.0,0.0,4.0,39929
-6.40276720531574e-12,0.03,5.435897435897436,-0.8399999999720603,320.0,786.0,415.0,51.0,319.0,99.0,13.0,0.06,9.0,0.045,0.030405405405405407,0.0,0.07000000002153683,100000.07000000002,0.5399999999999999,2.7956967643165362,1.0,0.72,3.0,0.7349999999860302,7.349993752365611e-06,6.0,2.711442786069652,1.4444444444444444,0.003500000001076842,0.007777777780170759,200.0,22.22222222222222,2.0,-0.29,microstructure_adaptive,0.0,0.0,9.0,89986
