accounting_error,adverse_selection_cost,average_quoted_spread_ticks,executable_mark_adjustment,external_cancel_count,external_event_count,external_limit_count,external_market_count,external_successful_cancel_count,external_trade_count,external_unfilled_market_quantity,fees,fill_count,fill_rate,filled_quantity_rate,final_inventory,final_pnl,final_wealth,inventory_mark_to_market,inventory_rms,liquidation_count,liquidation_pnl,max_abs_inventory,max_drawdown,max_drawdown_pct,max_queue_ahead_at_entry,mean_abs_inventory,mean_queue_ahead_at_entry,pnl_per_second,pnl_per_traded_unit,quote_count,quote_to_trade_ratio,seed,spread_capture,strategy,terminal_liquidation_unfilled,time_at_inventory_limit,total_traded_quantity,turnover_notional_ticks
-2.3282931138624008e-11,1.3100000000000007,2.505,-1.4899999999598368,412.0,970.0,510.0,48.0,412.0,115.0,0.0,0.19000000000000006,33.0,0.165,0.0825,0.0,-0.05999999998311978,99999.94000000002,0.09999999999999998,1.5913322432659094,1.0,2.35,5.0,0.09500000000116415,9.49999525011879e-07,14.0,1.0298507462686568,1.8484848484848484,-0.002999999999155989,-0.0018181818176702964,200.0,6.0606060606060606,0.0,-0.8300000000000001,naive_symmetric,0.0,0.0,33.0,329924
-1.397015836346327e-11,1.1800000000000006,2.83,-0.8200000000081489,416.0,974.0,510.0,48.0,416.0,112.0,0.0,0.15000000000000005,29.0,0.145,0.0725,0.0,0.06999999997788109,100000.06999999998,0.11000000000000001,0.903283121734238,1.0,0.47000000000000003,2.0,0.069999999992433,6.999994049248361e-07,13.0,0.6368159203980099,1.9310344827586208,0.0034999999988940544,0.002413793102685555,200.0,6.896551724137931,0.0,0.4600000000000001,inventory_skew,0.0,0.0,29.0,289937
0.0,0.0,35.34170854271357,0.0,441.0,996.0,508.0,47.0,441.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,avellaneda_stoikov,0.0,0.0,0.0,0
-5.238809386298726e-12,0.47,5.925,0.6400000000232832,341.0,807.0,418.0,48.0,341.0,99.0,0.0,0.06999999999999999,12.0,0.06,0.03896103896103896,0.0,-0.08999999998195563,99999.91000000002,0.009999999999999995,1.9875232718685096,1.0,-1.0,3.0,0.23499999998603016,2.349999764860325e-06,6.0,1.8407960199004976,0.5,-0.004499999999097781,-0.007499999998496302,200.0,16.666666666666668,0.0,0.32999999999999996,microstructure_adaptive,0.0,0.0,12.0,119974
1.804445481923267e-11,1.4400000000000008,2.275,-1.5800000000419097,410.0,966.0,514.0,42.0,410.0,116.0,10.0,0.20000000000000007,37.0,0.185,0.0925,0.0,-0.010000000023865141,99999.98999999998,0.16,2.3244322047818184,1.0,1.05,5.0,0.180000000007567,1.7999987400765523e-06,14.0,1.9502487562189055,0.4594594594594595,-0.0005000000011932571,-0.0002702702709152741,200.0,5.405405405405405,1.0,0.56,naive_symmetric,0.0,0.0,37.0,370019
6.985079181731635e-12,1.3300000000000007,2.83,-1.2400000000209548,412.0,968.0,514.0,42.0,412.0,114.0,10.0,0.18000000000000008,35.0,0.175,0.0875,0.0,0.10999999998603016,100000.10999999999,0.06999999999999999,1.2257599937137182,1.0,0.35000000000000003,3.0,0.08500000000640284,8.49999065065057e-07,18.0,0.9651741293532339,1.0857142857142856,0.005499999999301508,0.003142857142458005,200.0,5.714285714285714,1.0,1.1099999999999999,inventory_skew,0.0,0.0,35.0,350027
7.56700258008891e-12,0.08,34.91878172588832,-6.984968159429172e-12,438.0,988.0,508.0,42.0,438.0,86.0,10.0,0.02,3.0,0.015,0.007614213197969543,0.0,0.11000000000058208,100000.11,-0.07,0.14106912317171966,1.0,-0.43,1.0,0.07499999999708962,7.499989499723662e-07,11.0,0.01990049751243781,3.6666666666666665,0.005500000000029104,0.03666666666686069,200.0,66.66666666666667,1.0,0.63,avellaneda_stoikov,0.0,0.0,3.0,29987
7.567058091240142e-12,0.7700000000000002,5.57,-1.3700000000116417,348.0,824.0,434.0,42.0,348.0,101.0,10.0,0.11000000000000001,19.0,0.095,0.059375,0.0,-0.020000000004074536,99999.98,-0.07000000000000003,2.8763921569904234,1.0,1.05,4.0,0.24499999998079147,2.449997672310126e-06,10.0,2.671641791044776,0.631578947368421,-0.0010000000002037268,-0.0010526315791618177,200.0,10.526315789473685,1.0,0.4800000000000001,microstructure_adaptive,0.0,0.0,19.0,189995
9.895195773879095e-12,1.0400000000000005,2.39,-0.8000000000325962,410.0,980.0,525.0,45.0,410.0,107.0,0.0,0.13000000000000003,23.0,0.115,0.0575,0.0,-0.04000000002270099,99999.95999999998,0.12,2.1877087675788323,1.0,-0.15,3.0,0.09500000000116415,9.499996200117938e-07,2.0,1.7611940298507462,0.08695652173913043,-0.0020000000011350496,-0.001739130435769608,200.0,8.695652173913043,2.0,0.9200000000000002,naive_symmetric,0.0,0.0,23.0,230061
-2.3284152383951096e-12,0.9400000000000004,2.85,-0.4000000000174622,412.0,982.0,525.0,45.0,412.0,105.0,0.0,0.11000000000000003,21.0,0.105,0.0525,0.0,0.009999999980209395,100000.00999999998,0.060000000000000005,0.8225672710623038,1.0,-0.05,1.0,0.03500000000349246,3.499998950349561e-07,2.0,0.6766169154228856,0.09523809523809523,0.0004999999990104697,0.00047619047524806647,200.0,9.523809523809524,2.0,0.51,inventory_skew,0.0,0.0,21.0,210052
0.0,0.0,35.395,0.0,431.0,1000.0,525.0,44.0,431.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,2.0,0.0,avellaneda_stoikov,0.0,0.0,0.0,0
-2.3283597272438783e-12,0.42999999999999994,5.93,-0.8100000000139698,332.0,812.0,435.0,45.0,332.0,97.0,0.0,0.06999999999999999,11.0,0.055,0.035483870967741936,0.0,-0.08000000001629815,99999.91999999998,0.05999999999999997,2.337239090714551,1.0,-0.15,4.0,0.16500000000814907,1.6499992575818248e-06,12.0,1.9701492537313432,1.2727272727272727,-0.004000000000814907,-0.007272727274208923,200.0,18.181818181818183,2.0,0.89,microstructure_adaptive,0.0,0.0,11.0,110031
1.2223555501122974e-11,0.41000000000000003,2.62,-1.3200000000133878,423.0,989.0,526.0,40.0,423.0,78.0,0.0,0.08,14.0,0.07,0.035,0.0,0.029999999998835847,100000.03,0.06000000000000001,1.570879273382359,2.0,0.9,3.0,0.08499999999185093,8.499994049189258e-07,13.0,1.36318407960199,1.1428571428571428,0.0014999999999417923,0.002142857142773989,200.0,14.285714285714286,3.0,0.47000000000000003,naive_symmetric,0.0,0.0,14.0,140005
-1.1641798636219391e-12,0.39,2.905,-0.7699999999959255,424.0,990.0,526.0,40.0,424.0,75.0,0.0,0.06999999999999999,13.0,0.065,0.0325,0.0,0.05000000000291038,100000.05,0.03,1.0743504343189856,1.0,0.45,3.0,0.08499999999185093,8.499994049189258e-07,3.0,0.9253731343283582,0.23076923076923078,0.002500000000145519,0.003846153846377722,200.0,15.384615384615385,3.0,0.41000000000000003,inventory_skew,0.0,0.0,13.0,130005
-4.074574011525556e-12,0.03,34.43,-0.47000000000523867,436.0,1002.0,526.0,40.0,436.0,65.0,0.0,0.01,1.0,0.005,0.0025,0.0,-0.010000000009313226,99999.98999999999,-0.019999999999999997,0.9849615493669504,1.0,0.45,1.0,0.05000000000291038,4.999999250291151e-07,0.0,0.9701492537313433,0.0,-0.0005000000004656613,-0.010000000009313226,200.0,200.0,3.0,0.04,avellaneda_stoikov,0.0,0.0,1.0,10003
-5.238698363996264e-12,0.13,5.575,-1.5600000000029104,354.0,842.0,448.0,40.0,354.0,67.0,0.0,0.04,5.0,0.025,0.015527950310559006,0.0,-0.04000000000814907,99999.95999999999,0.010000000000000009,2.713518763451248,2.0,1.35,3.0,0.17499999998835847,1.749997899886105e-06,0.0,2.626865671641791,0.0,-0.0020000000004074536,-0.008000000001629815,200.0,40.0,3.0,0.2,microstructure_adaptive,0.0,0.0,5.0,50009
0.0,0.0,2.86,0.0,443.0,1000.0,520.0,37.0,443.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,4.0,0.0,naive_symmetric,0.0,0.0,0.0,0
0.0,0.0,2.86,0.0,443.0,1000.0,520.0,37.0,443.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,4.0,0.0,inventory_skew,0.0,0.0,0.0,0
0.0,0.0,34.265,0.0,443.0,1000.0,520.0,37.0,443.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,4.0,0.0,avellaneda_stoikov,0.0,0.0,0.0,0
9.313216864370588e-12,0.0,5.615,0.23999999998661226,370.0,854.0,446.0,38.0,370.0,64.0,0.0,0.01,1.0,0.005,0.003067484662576687,0.0,-0.020000000004074536,99999.98,0.01,0.9899997487310601,1.0,-0.26,1.0,0.02500000000873115,2.500000000873115e-07,0.0,0.9800995024875622,0.0,-0.0010000000002037268,-0.020000000004074536,200.0,200.0,4.0,0.0,microstructure_adaptive,0.0,0.0,1.0,10000
5.238476319391339e-12,0.21000000000000002,2.8391959798994977,-2.1,426.0,993.0,528.0,39.0,426.0,67.0,7.0,0.06,6.0,0.03,0.01507537688442211,0.0,-0.00999999999476131,99999.99,0.49000000000000016,5.367119352991298,1.0,2.52,6.0,2.334999999991851,2.3349995329919443e-05,5.0,5.144278606965174,1.0,-0.0004999999997380655,-0.0016666666657935518,200.0,33.333333333333336,5.0,-0.86,naive_symmetric,0.0,0.0,6.0,59989
6.402878227618203e-12,0.25,2.9949748743718594,-1.5200000000128058,425.0,992.0,528.0,39.0,425.0,67.0,8.0,0.05,7.0,0.035,0.017587939698492462,0.0,0.03999999999359716,100000.04,0.45999999999999996,2.8573027673800357,1.0,1.26,4.0,1.5200000000040745,1.5199991640045345e-05,3.0,2.791044776119403,0.5714285714285714,0.0019999999996798577,0.005714285713371022,200.0,28.571428571428573,5.0,-0.11000000000000004,inventory_skew,0.0,0.0,7.0,69986
-5.820899318109696e-13,0.05,34.733668341708544,-0.4400000000023283,431.0,998.0,528.0,39.0,431.0,63.0,9.0,0.01,1.0,0.005,0.002512562814070352,0.0,0.19999999999708962,100000.2,0.39,0.8551861104941366,1.0,0.42,1.0,0.1849999999976717,1.8499962074844916e-06,0.0,0.7313432835820896,0.0,0.009999999999854481,0.19999999999708962,200.0,200.0,5.0,-0.16,avellaneda_stoikov,0.0,0.0,1.0,9978
2.9686031410847136e-11,0.19,5.63819095477387,-1.5000000000256113,350.0,841.0,452.0,39.0,350.0,66.0,8.0,0.05,6.0,0.03,0.018633540372670808,0.0,0.020000000004074536,100000.02,0.3599999999999998,3.58687491303935,1.0,1.68,4.0,1.5299999999988358,1.5299993879990806e-05,5.0,3.4228855721393034,0.8333333333333334,0.0010000000002037268,0.0033333333340124227,200.0,33.333333333333336,5.0,-0.47,microstructure_adaptive,0.0,0.0,6.0,59985
1.7462031820514312e-11,0.9300000000000004,2.548223350253807,-1.2300000000052385,417.0,967.0,502.0,48.0,417.0,104.0,8.0,0.14000000000000004,24.0,0.12,0.06091370558375635,0.0,0.06000000001222361,100000.06000000001,0.30000000000000027,2.4576006581674075,1.0,2.88,4.0,1.7749999999796273,1.7749965387363764e-05,3.0,2.1492537313432836,0.25,0.0030000000006111804,0.002500000000509317,200.0,8.333333333333334,6.0,-1.75,naive_symmetric,0.0,0.0,24.0,240040
-1.0477396727992527e-11,0.8600000000000003,2.83248730964467,-0.9399999999796271,418.0,968.0,502.0,48.0,418.0,103.0,8.0,0.12000000000000004,23.0,0.115,0.0583756345177665,0.0,0.1200000000098953,100000.12000000001,0.27,1.6053393497515398,1.0,0.72,3.0,1.7849999999889405,1.7849965192457278e-05,8.0,1.3830845771144278,0.5217391304347826,0.006000000000494765,0.005217391304778057,200.0,8.695652173913043,6.0,0.18999999999999984,inventory_skew,0.0,0.0,23.0,230032
1.7461587731304462e-12,0.13,35.77720207253886,-0.5899999999912688,430.0,972.0,494.0,48.0,430.0,84.0,11.0,0.02,3.0,0.015,0.007772020725388601,0.0,0.4800000000104774,100000.48000000001,0.33000000000000007,0.7790796969048502,1.0,0.72,1.0,0.40999999998894054,4.099978884998147e-06,0.0,0.6069651741293532,0.0,0.02400000000052387,0.16000000000349246,200.0,66.66666666666667,6.0,0.040000000000000036,avellaneda_stoikov,0.0,0.0,3.0,30012
2.0372703524174085e-11,0.36,5.839378238341969,0.6999999999720604,335.0,790.0,408.0,47.0,335.0,89.0,10.0,0.049999999999999996,10.0,0.05,0.03333333333333333,0.0,0.069999999992433,100000.06999999999,-0.15,1.14387836391934,0.0,0.0,2.0,0.39999999999417923,3.999985199996553e-06,3.0,0.9800995024875622,0.3,0.0034999999996216504,0.006999999999243301,200.0,20.0,6.0,-0.43000000000000005,microstructure_adaptive,0.0,0.0,10.0,100004
