accounting_error,adverse_selection_cost,average_quoted_spread_ticks,executable_mark_adjustment,fees,fill_count,fill_rate,filled_quantity_rate,final_inventory,final_pnl,final_wealth,inventory_mark_to_market,inventory_rms,liquidation_count,liquidation_pnl,max_abs_inventory,max_drawdown,max_drawdown_pct,mean_abs_inventory,pnl_per_second,pnl_per_traded_unit,quote_count,quote_to_trade_ratio,seed,spread_capture,strategy,time_at_inventory_limit,total_traded_quantity,turnover_notional_ticks
1.2223555501122974e-11,-0.12999999999999995,4,1.3969853052131498e-11,0.13000000000000003,26.0,0.13,0.065,0.0,0.7000000000261934,100000.70000000003,0.30999999999999994,3.309116008274552,0.0,0.0,5.0,0.8999999999941792,8.99993385042799e-06,2.7512437810945274,0.03500000000130967,0.026923076924084362,200.0,7.6923076923076925,0.0,0.5200000000000001,naive_symmetric,0.0,26.0,259665
-5.821010340412158e-12,-0.08999999999999997,4.88,2.0372703524174085e-11,0.11000000000000003,21.0,0.105,0.0525,0.0,0.5000000000145519,100000.50000000001,0.15000000000000002,1.5819252707347002,1.0,-0.02,2.0,0.3600000000005821,3.5999773201487036e-06,1.4179104477611941,0.025000000000727596,0.023809523810216757,200.0,9.523809523809524,0.0,0.4800000000000002,inventory_skew,0.0,21.0,209731
0.0,0.0,27.95,-1.1641521080463235e-12,0.01,2.0,0.01,0.005,0.0,0.029999999998835847,100000.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0014999999999417923,0.014999999999417923,200.0,100.0,0.0,0.04,avellaneda_stoikov,0.0,2.0,19960
-2.9105606813573104e-12,-0.06999999999999999,6.235,-1.2805662780168703e-11,0.08,15.0,0.075,0.0375,0.0,0.5299999999842839,100000.52999999998,0.20000000000000012,1.3327112976879405,1.0,-0.02,2.0,0.3600000000005821,3.5999785801332693e-06,1.099502487562189,0.026499999999214197,0.035333333332285596,200.0,13.333333333333334,0.0,0.43000000000000005,microstructure_adaptive,0.0,15.0,149809
2.3281931937901845e-12,-0.06999999999999999,4,-1.1641382302585157e-12,0.12000000000000002,22.0,0.11,0.055,0.0,0.22000000000116415,100000.22,-0.059999999999999956,1.5549631660464482,1.0,-0.04,3.0,0.5299999999842839,5.299984099890541e-06,1.3134328358208955,0.011000000000058208,0.010000000000052916,200.0,9.090909090909092,1.0,0.4400000000000001,naive_symmetric,0.0,22.0,220126
2.328082171487722e-12,-0.06999999999999999,4.84,-3.492435507457259e-12,0.12000000000000002,22.0,0.11,0.055,0.0,0.27999999999883585,100000.28,-0.059999999999999956,1.5549631660464482,1.0,-0.04,3.0,0.5199999999895226,5.199982839951855e-06,1.3134328358208955,0.013999999999941792,0.012727272727219812,200.0,9.090909090909092,1.0,0.5000000000000001,inventory_skew,0.0,22.0,220130
6.402928534599006e-12,-0.02,25.05,-6.402840063701731e-12,0.01,2.0,0.01,0.005,0.0,0.0,100000.0,-0.04000000000000009,0.9874838622020375,0.0,0.0,1.0,0.3100000000122236,3.0999973651244753e-06,0.9751243781094527,0.0,0.0,200.0,100.0,1.0,0.05,avellaneda_stoikov,0.0,2.0,20003
1.746217059839239e-11,-0.12000000000000001,6.295,5.820934012579215e-13,0.09000000000000001,17.0,0.085,0.0425,0.0,0.16000000001804437,100000.16000000002,-0.19999999999999998,2.373149973351853,1.0,-0.02,4.0,0.8099999999976717,8.09997043508463e-06,2.1194029850746268,0.00800000000090222,0.009411764706943786,200.0,11.764705882352942,1.0,0.4700000000000001,microstructure_adaptive,0.0,17.0,170082
-2.502931195635938e-11,-0.039999999999999994,4,1.3969853052131498e-11,0.13000000000000003,26.0,0.13,0.065,0.0,0.9099999999889405,100000.90999999999,0.5199999999999998,1.113016608209084,0.0,0.0,2.0,0.17499999998835847,1.7499840750285021e-06,0.8507462686567164,0.045499999999447024,0.034999999999574635,200.0,7.6923076923076925,2.0,0.5200000000000001,naive_symmetric,0.0,26.0,259488
-2.3285817718488033e-12,0.010000000000000005,4.89,-1.513396699626135e-11,0.12000000000000004,23.0,0.115,0.0575,0.0,0.6999999999825377,100000.69999999998,0.31000000000000016,1.7291760324627972,1.0,-0.02,3.0,0.3150000000023283,3.1499766901957763e-06,1.4975124378109452,0.03499999999912688,0.03043478260793642,200.0,8.695652173913043,2.0,0.5300000000000001,inventory_skew,0.0,23.0,229539
